
2019-11-11 20:51:31.839829: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10.0
2019-11-11 20:51:31.962028: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcudnn.so.7
Step 0:    (2019-11-11 20:51:32.690595)
Step 20300:    (2019-11-11 21:33:53.499521)
    training nat accuracy 90.0%
    training adv accuracy 54.0%
    409.71466695906156 examples per second
Step 20400:    (2019-11-11 21:34:05.560900)
    training nat accuracy 98.0%
    training adv accuracy 62.0%
    414.7543253459278 examples per second
Step 20500:    (2019-11-11 21:34:17.431639)
    training nat accuracy 98.0%
    training adv accuracy 44.0%
    423.2234577278437 examples per second
Step 20600:    (2019-11-11 21:34:29.757444)
    training nat accuracy 94.0%
    training adv accuracy 60.0%
    405.83596076840564 examples per second
Step 20700:    (2019-11-11 21:34:42.037868)
    training nat accuracy 96.0%
    training adv accuracy 64.0%
    407.3586376738974 examples per second
Step 20800:    (2019-11-11 21:34:54.285444)
    training nat accuracy 100.0%
    training adv accuracy 70.0%
    410.2719274841719 examples per second
Step 20900:    (2019-11-11 21:35:06.597713)
    training nat accuracy 94.0%
    training adv accuracy 66.0%
    407.3982340780106 examples per second
Step 21000:    (2019-11-11 21:35:18.841450)
    training nat accuracy 92.0%
    training adv accuracy 62.0%
    408.5730884517514 examples per second
Step 21100:    (2019-11-11 21:35:31.451752)
    training nat accuracy 94.0%
    training adv accuracy 62.0%
    398.62808336342664 examples per second
Step 21200:    (2019-11-11 21:35:43.910138)
    training nat accuracy 98.0%
    training adv accuracy 58.0%
    401.5249575846835 examples per second
Step 21300:    (2019-11-11 21:35:56.629989)
    training nat accuracy 94.0%
    training adv accuracy 68.0%
    393.4415483173303 examples per second
Step 21400:    (2019-11-11 21:36:08.954510)
    training nat accuracy 94.0%
    training adv accuracy 64.0%
    407.6222729479652 examples per second
Step 21500:    (2019-11-11 21:36:21.414931)
    training nat accuracy 94.0%
    training adv accuracy 64.0%
    401.48651801798184 examples per second
Step 21600:    (2019-11-11 21:36:33.488966)
    training nat accuracy 90.0%
    training adv accuracy 54.0%
    414.3320168684879 examples per second
Step 21700:    (2019-11-11 21:36:45.597831)
    training nat accuracy 96.0%
    training adv accuracy 76.0%
    415.0682315316108 examples per second
Step 21800:    (2019-11-11 21:36:57.916875)
    training nat accuracy 98.0%
    training adv accuracy 72.0%
    406.2723246438625 examples per second
Step 21900:    (2019-11-11 21:37:09.948510)
    training nat accuracy 96.0%
    training adv accuracy 74.0%
    416.30359326090206 examples per second
Step 22000:    (2019-11-11 21:37:22.180715)
    training nat accuracy 96.0%
    training adv accuracy 62.0%
    412.0439943385784 examples per second
Step 22100:    (2019-11-11 21:37:34.044911)
    training nat accuracy 96.0%
    training adv accuracy 58.0%
    421.7142667443857 examples per second
Step 22200:    (2019-11-11 21:37:46.582467)
    training nat accuracy 100.0%
    training adv accuracy 68.0%
    399.00258559992875 examples per second
Step 22300:    (2019-11-11 21:38:00.012159)
    training nat accuracy 100.0%
    training adv accuracy 76.0%
    374.02981744868276 examples per second
Step 22400:    (2019-11-11 21:38:12.271755)
    training nat accuracy 96.0%
    training adv accuracy 72.0%
    408.05244030843465 examples per second
^CTraceback (most recent call last):
  File "train.py", line 83, in <module>
    x_batch_adv = attack.perturb(x_batch, y_batch, sess)
  File "/home/user/git/mnist_challenge/pgd_attack.py", line 54, in perturb
    self.model.y_input: y})
  File "/usr/local/lib/python3.6/dist-packages/tensorflow_core/python/client/session.py", line 956, in run
    run_metadata_ptr)
  File "/usr/local/lib/python3.6/dist-packages/tensorflow_core/python/client/session.py", line 1180, in _run
    feed_dict_tensor, options, run_metadata)
  File "/usr/local/lib/python3.6/dist-packages/tensorflow_core/python/client/session.py", line 1359, in _do_run
    run_metadata)
  File "/usr/local/lib/python3.6/dist-packages/tensorflow_core/python/client/session.py", line 1365, in _do_call
    return fn(*args)
  File "/usr/local/lib/python3.6/dist-packages/tensorflow_core/python/client/session.py", line 1350, in _run_fn
    target_list, run_metadata)
  File "/usr/local/lib/python3.6/dist-packages/tensorflow_core/python/client/session.py", line 1443, in _call_tf_sessionrun
    run_metadata)
KeyboardInterrupt
^C^C
